batch	id	coverage_targets	type	text	source	reading_evidence	linguistic	naturalness	user_burden	safety	license	product	review_notes	reviewed_by	reviewed_at
1	sentence-authored-ang1-001	ang1	short_sentence	这块抹布有点肮脏	VoxFlame authored candidate	肮脏 [ang1 zang1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-ang1-002	ang1	short_sentence	请换掉这条肮脏毛巾	VoxFlame authored candidate	肮脏 [ang1 zang1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-ang1-肮脏	ang1	word	肮脏	CC-CEDICT	肮脏 [ang1 zang1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-ang4-001	ang4	short_sentence	春天的公园绿意盎然	VoxFlame authored candidate	盎然 [ang4 ran2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-ang4-002	ang4	short_sentence	院子里一片生机盎然	VoxFlame authored candidate	盎然 [ang4 ran2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-ang4-盎司	ang4	word	盎司	CC-CEDICT	盎司 [ang4 si1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-13972589	ao1	short_sentence	月球的表面凹凸不平。	Tatoeba	凹凸 [ao1 tu1] (CC-CEDICT whole-word reading) | 凹凸不平 [ao1 tu1 bu4 ping2] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-ao1-001	ao1	short_sentence	这块地面凹凸不平	VoxFlame authored candidate	凹凸不平 [ao1 tu1 bu4 ping2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-ao1-凹凸	ao1	word	凹凸	CC-CEDICT	凹凸 [ao1 tu1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-353692	bei0 jia2	short_sentence	她的胳臂下面夹着一本书。	Tatoeba	胳臂 [ge1 bei5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-bei0-001	bei0	short_sentence	我的胳臂有点酸	VoxFlame authored candidate	胳臂 [ge1 bei5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-bei0-胳臂	bei0	word	胳臂	CC-CEDICT	胳臂 [ge1 bei5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-bo3-001	bo3	short_sentence	这段路有些颠簸	VoxFlame authored candidate	颠簸 [dian1 bo3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-bo3-002	bo3	short_sentence	山路上有些颠簸	VoxFlame authored candidate	颠簸 [dian1 bo3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-bo3-颠簸	bo3	word	颠簸	CC-CEDICT	颠簸 [dian1 bo3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-9049749	bo4	short_sentence	这个漱口水的薄荷味太重了。	Tatoeba	薄荷 [bo4 he5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-bo4-001	bo4	short_sentence	我想要一杯薄荷茶	VoxFlame authored candidate	薄荷 [bo4 he5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-bo4-薄荷	bo4	word	薄荷	CC-CEDICT	薄荷 [bo4 he5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-can3-001	can3	short_sentence	这场比赛最终惨败	VoxFlame authored candidate	惨败 [can3 bai4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-can3-002	can3	short_sentence	今天的生意有些惨淡	VoxFlame authored candidate	惨淡 [can3 dan4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-can3-惨淡	can3	word	惨淡	CC-CEDICT	惨淡 [can3 dan4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-676993	chai2	short_sentence	您有火柴吗?	Tatoeba	火柴 [huo3 chai2] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-chai2-001	chai2	short_sentence	抽屉里还有一盒火柴	VoxFlame authored candidate	火柴 [huo3 chai2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-chai2-火柴	chai2	word	火柴	CC-CEDICT	火柴 [huo3 chai2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-che3-001	che3	short_sentence	这件事牵扯多个环节	VoxFlame authored candidate	牵扯 [qian1 che3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-che3-002	che3	short_sentence	这个问题牵扯很多部门	VoxFlame authored candidate	牵扯 [qian1 che3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-che3-牵扯	che3	word	牵扯	CC-CEDICT	牵扯 [qian1 che3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-cheng3-001	cheng3	short_sentence	这个企图最终没有得逞	VoxFlame authored candidate	得逞 [de2 cheng3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	sentence-authored-cheng3-002	cheng3	short_sentence	他们的计划未能得逞	VoxFlame authored candidate	得逞 [de2 cheng3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
1	word-cheng3-得逞	cheng3	word	得逞	CC-CEDICT	得逞 [de2 cheng3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-chong4-001	chong4	short_sentence	年轻人很有冲劲	VoxFlame authored candidate	冲劲 [chong4 jin4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-chong4-002	chong4	short_sentence	这个团队很有冲劲	VoxFlame authored candidate	冲劲 [chong4 jin4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-chong4-冲劲	chong4	word	冲劲	CC-CEDICT	冲劲 [chong4 jin4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-chuo1-001	chuo1	short_sentence	请别戳破气球	VoxFlame authored candidate	戳破 [chuo1 po4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-chuo1-002	chuo1	short_sentence	铅笔戳破了纸张	VoxFlame authored candidate	戳破 [chuo1 po4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-chuo1-戳破	chuo1	word	戳破	CC-CEDICT	戳破 [chuo1 po4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-2440699	ci1	short_sentence	他的演技绝对有瑕疵。	Tatoeba	瑕疵 [xia2 ci1] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-ci1-001	ci1	short_sentence	这件产品还有瑕疵	VoxFlame authored candidate	瑕疵 [xia2 ci1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-ci1-瑕疵	ci1	word	瑕疵	CC-CEDICT	瑕疵 [xia2 ci1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-cuan4-001	cuan4	short_sentence	请勿篡改原始记录	VoxFlame authored candidate	篡改 [cuan4 gai3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
